amount,hour,device_score,account_age_days,velocity_1h,ip_risk,merchant_risk,distance_km,failed_logins_24h,chargeback_history,country_mismatch_score,new_device_flag,is_fraud
143.92960301873796,8.0,34.608084106189935,157.0,4.0,100.0,6.024459326554627,80.92826712668749,1.0,2.0,1.9449989364661007,-5.126345207181836,0
36.54478200325737,6.0,46.53648862647078,133.0,4.0,27.52565725534869,26.589959660959682,30.784077731181533,2.0,1.0,-0.5639739624091442,2.1687061901090665,0
120.18974900905414,1.0,41.17630197295862,174.0,2.0,72.70178669477215,38.16210722648648,45.89848732173539,1.0,1.0,1.6429467619915021,-4.380311169155573,0
17.422292183589885,11.0,52.79246853485097,159.0,2.0,0.0,78.51525389348805,63.537970213240754,2.0,2.0,-1.4462853542829524,0.17313517893174843,0
158.664207398128,8.0,65.38813247145029,224.0,0.0,43.66578185879292,61.813822949369964,15.91374585699427,0.0,0.0,1.1595658543977834,-1.4138582260857058,0
85.33939976581279,3.0,33.3968577705359,201.0,3.0,25.96666752849089,72.49794820470271,62.6734781039974,3.0,0.0,-1.7513477563663218,3.0356043858844695,0
56.082359741097335,1.0,51.90020750267139,89.0,6.0,0.0,65.47111415097505,57.073118657137854,0.0,1.0,-1.0089211732668328,2.7184599488098193,0
71.27676806252808,1.0,31.095472163258446,221.0,2.0,12.79768159048919,85.07298906847255,62.563821784101144,1.0,0.0,-1.2877366465125921,2.4593748271665534,0
108.01341522423289,0.0,25.226111823640377,56.0,3.0,0.0,61.704353569859784,39.58594168621018,1.0,2.0,1.2523496053930647,-1.601729824175207,0
12.355583534517825,7.0,19.596127529589825,153.0,1.0,40.603887914163316,54.19964464814396,44.189305618861205,1.0,0.0,-2.529619476424149,3.277907860767201,0
44.24367535746278,5.0,21.362690248910845,66.0,2.0,22.81731755830868,41.25051213061025,5.856483881228792,1.0,1.0,1.8955553807333685,-3.6747049933095375,0
135.32672847381016,9.0,72.46773832850407,56.0,2.0,64.63082165108517,61.15598022487878,10.68598393570991,1.0,0.0,0.7123906849426123,-1.8295087238676702,0
39.11777676775746,5.0,68.35625846989825,149.0,5.0,100.0,55.70287007857613,91.2058835748554,0.0,2.0,1.7618683284240244,-3.9031068485750957,0
167.37834682762505,12.0,55.418219564129814,321.0,6.0,16.188560964526175,75.44664777505892,52.197968394562025,1.0,1.0,-1.2973048705018408,-1.3112862426064602,0
49.28987268475525,4.0,58.5816212301315,273.0,0.0,49.890766777722725,35.50088748301235,58.10118648667492,1.0,1.0,-3.100897418501411,5.532441379528487,0
23.466173849789104,4.0,39.83079851018006,76.0,2.0,44.40921230821472,35.65433197239081,18.38322314555121,2.0,1.0,0.22873343672107183,0.6760589024789732,0
16.18110126235355,19.0,16.95338437638908,245.0,2.0,83.58427200325647,92.89243161821727,11.297357210320905,0.0,1.0,-1.308242767053442,2.5513087736604967,0
49.84877930788067,14.0,49.39137269444941,38.0,3.0,0.0,7.561115361363406,59.27353190320056,3.0,2.0,-2.2273919570745013,2.7015926577258234,0
40.04419072524451,13.0,36.15192332409062,94.0,3.0,26.895522799170365,36.86230442611022,42.30995539579874,1.0,1.0,-1.6871407979602928,2.7521465955460576,0
19.95019317968213,3.0,13.251453007048177,422.0,10.0,97.23080474423814,34.001938663285344,104.47507640553148,1.0,2.0,1.7509636845204208,-6.9496678835497985,0
39.05383139802292,1.0,37.83253769764976,250.0,1.0,58.55911210554351,3.361862680512907,44.787886777210744,1.0,1.0,-2.220869272324444,3.196435709468226,0
10.710940972920676,4.0,76.05821278795958,130.0,3.0,11.474044489220411,33.49659426542742,40.5341851269902,2.0,1.0,-0.7664960239527217,2.3863156559810252,0
33.8593109906047,1.0,39.65400373887896,136.0,3.0,100.0,90.78155628880737,13.361278993796306,1.0,1.0,-2.9114481787292035,3.190718328338306,0
60.28898016459142,4.0,48.094529280514436,144.0,8.0,56.43244874443154,28.121206183363906,61.560927318099004,1.0,0.0,2.116621063874568,-4.933139850781827,0
82.08705745927834,7.0,91.77876758002071,153.0,0.0,64.91458317056664,22.92579895405359,38.212724174191976,0.0,1.0,-2.000133794465893,2.3336211402093983,0
35.56006617049439,1.0,67.0582131870454,44.0,5.0,53.887162513003325,51.61050275994805,23.216973502036282,1.0,1.0,-1.3392685238763804,2.876991055761837,0
137.1576093568678,12.0,27.142813998954487,138.0,0.0,91.79393952421749,21.90491328989619,20.02672142270265,1.0,1.0,-4.063730486503676,7.064211225395621,0
44.43407531974871,4.0,59.67508839265791,129.0,4.0,11.549893968951267,51.387114735277386,15.369880909003841,1.0,1.0,2.363340672608066,-5.128725765833415,0
48.279142459397,7.0,44.62078859089091,151.0,2.0,47.16631966237684,30.514602710422636,31.742565255606483,1.0,0.0,-1.1432995807800803,2.296600413962119,0
106.64466265458286,6.0,53.70544532656853,413.0,1.0,66.8166338168065,57.65004919082839,15.930593189324474,1.0,0.0,-0.5130225967044129,-3.057322970352029,0
48.6207083467513,4.0,16.248020778604214,371.0,2.0,78.076502930846,66.72816707524298,45.86021505484301,4.0,0.0,3.749605376098615,-1.826983204775609,0
23.193889553492266,11.0,84.31984124527867,49.0,8.0,100.0,58.41820719304863,101.49720647535193,0.0,2.0,3.0082205726526534,-4.48746843765796,0
14.903521750959584,6.0,70.78552263981389,118.0,2.0,33.44528943923561,61.45292078240067,69.87352348416745,1.0,1.0,-4.06104595734303,5.526044741561957,0
39.63882159241376,3.0,79.36618972860255,145.0,8.0,100.0,53.58506414667474,152.90718345795113,2.0,4.0,2.1489688920763186,-4.374794011750612,0
32.442932373954875,9.0,93.88200911543694,49.0,5.0,0.0,33.71211237218611,46.90283365110349,1.0,3.0,0.08681796425465182,1.384901268923381,0
26.459944122868624,3.0,42.54515310739735,177.0,3.0,100.0,35.4943901134373,9.795678207878861,0.0,1.0,-2.5662779540621337,3.1187922071217327,0
70.60306128494008,15.0,51.031273299812675,177.0,6.0,28.501927284025236,57.62145000286282,43.17760382417164,3.0,0.0,-0.3599640514596092,2.40846838343555,0
146.13758973690784,10.0,73.3917000920967,74.0,2.0,0.0,92.59545087130832,23.450915209166133,2.0,2.0,1.706701613692175,-2.3260390450851274,0
41.84079607875633,7.0,38.290101331474176,24.0,9.0,5.360842150945331,65.25557983422567,60.02390198203692,2.0,2.0,-2.3229304141596288,5.195727712686379,0
51.85486710468256,0.0,33.519643481713786,214.0,1.0,45.91275717488924,38.54436153952864,50.0004003387809,1.0,0.0,-2.1498308183566124,3.3108693667245324,0
